,All people,Males,Females,Lives in a household,Lives in a communal establishment,Schoolchild or full-time student aged 4 and over at their non term-time address,Area (hectares),Density (number of persons per hectare)
S01004961,654,321,333,652,2,15,26,24.9
S01004962,638,316,322,628,10,16,783,0.82
S01004963,623,313,310,623,-,21,"1,334",0.47
S01004964,"1,091",553,538,"1,063",28,23,"8,404",0.13
S01004965,942,456,486,940,2,16,"6,177",0.15
S01004966,"1,056",548,508,"1,052",4,31,"8,697",0.12
S01004967,669,340,329,669,-,19,"5,132",0.13
S01004968,578,297,281,572,6,11,"8,486",0.07
S01004969,919,471,448,896,23,29,"9,382",0.1
S01004970,838,407,431,834,4,17,"8,850",0.09
S01004971,"1,021",525,496,"1,021",-,30,"20,701",0.05
S01004972,824,427,397,819,5,25,"1,642",0.5
S01004973,"1,016",511,505,959,57,23,"2,410",0.42
S01004974,"1,188",588,600,"1,181",7,43,"4,469",0.27
S01004975,760,376,384,756,4,22,"1,764",0.43
S01004976,950,434,516,950,-,11,45,21.31
S01004977,966,471,495,965,1,13,26,36.69
S01004978,"1,001",481,520,"1,001",-,17,60,16.79
S01004979,819,401,418,805,14,27,38,21.6
S01004980,962,452,510,962,-,23,23,41.86
S01004981,988,498,490,980,8,21,"8,943",0.11
S01004982,666,324,342,620,46,28,"2,870",0.23
S01004983,963,447,516,963,-,17,"1,079",0.89
S01004984,763,353,410,763,-,31,"2,856",0.27
S01004985,813,395,418,813,-,12,"4,605",0.18
S01004986,786,368,418,753,33,22,999,0.79
S01004987,497,243,254,497,-,10,"3,209",0.15
S01004988,550,279,271,547,3,17,330,1.67
S01004989,695,331,364,672,23,23,"6,774",0.1
S01004990,593,292,301,593,-,9,"5,037",0.12
S01004991,659,325,334,659,-,2,"7,481",0.09
S01004992,848,419,429,848,-,2,27,31.58
S01004993,691,332,359,691,-,14,39,17.89
S01004994,810,373,437,745,65,11,43,18.83
S01004995,"1,012",472,540,976,36,14,38,26.34
S01004996,708,358,350,708,-,10,37,18.9
S01004997,958,490,468,939,19,18,"6,797",0.14
S01004998,"1,260",607,653,"1,258",2,38,"4,657",0.27
S01004999,898,429,469,870,28,14,"2,035",0.44
S01005000,546,269,277,546,-,8,"1,222",0.45
S01005001,"1,171",481,690,"1,026",145,26,"2,209",0.53
S01005002,"1,016",478,538,991,25,23,"16,632",0.06
S01005003,"1,089",538,551,"1,087",2,26,"5,842",0.19
S01005004,881,440,441,881,-,13,642,1.37
S01005005,941,448,493,941,-,6,25,38.26
S01005006,680,330,350,654,26,12,38,17.75
S01005007,839,392,447,839,-,7,"1,955",0.43
S01005008,"1,335",689,646,947,388,43,"3,703",0.36
S01005009,"1,033",492,541,"1,033",-,17,458,2.26
S01005010,696,335,361,692,4,6,65,10.66
S01005011,860,417,443,860,-,6,21,41.64
S01005012,874,445,429,859,15,12,40,21.97
S01005013,817,398,419,817,-,6,18,44.87
S01005014,875,399,476,871,4,6,22,39.8
S01005015,613,283,330,601,12,9,33,18.76
S01005016,887,431,456,869,18,13,23,39.31
S01005017,722,352,370,716,6,14,28,25.47
S01005018,594,306,288,594,-,6,12,51.57
S01005019,"1,260",889,371,741,519,2,106,11.87
S01005020,833,371,462,734,99,33,53,15.77
S01005021,"1,066",541,525,947,119,26,58,18.35
S01005022,708,329,379,708,-,12,23,31.05
S01005023,900,490,410,742,158,10,"2,337",0.39
S01005024,929,436,493,892,37,22,24,39.41
S01005025,690,337,353,689,1,20,"4,555",0.15
S01005026,676,341,335,670,6,19,324,2.09
S01005027,812,395,417,812,-,15,"2,865",0.28
S01005028,901,427,474,899,2,15,37,24.63
S01005029,981,482,499,981,-,7,14,70.19
S01005030,"1,027",465,562,"1,027",-,9,28,37.11
S01005031,682,326,356,670,12,5,39,17.68
S01005032,866,397,469,866,-,17,18,48.35
S01005033,735,369,366,735,-,14,28,25.8
S01005034,779,360,419,779,-,13,41,19.22
S01005035,983,492,491,980,3,12,"1,193",0.82
S01005036,664,299,365,632,32,21,23,29.09
S01005037,"1,178",624,554,"1,151",27,8,12,96.24
S01005038,819,359,460,744,75,23,20,40.49
S01005039,"1,064",505,559,"1,056",8,9,47,22.88
S01005040,"1,166",588,578,"1,112",54,1,15,76.32
S01005041,709,409,300,682,27,3,10,71.86
S01005042,798,377,421,798,-,18,29,27.07
S01005043,804,383,421,789,15,16,36,22.28
S01005044,929,450,479,929,-,11,46,20.28
S01005045,"1,032",496,536,"1,003",29,19,29,35.7
S01005046,"1,313",636,677,"1,310",3,23,59,22.15
S01005047,"1,516",786,730,"1,516",-,4,23,65.76
S01005048,595,297,298,541,54,17,55,10.73
S01005049,823,441,382,793,30,-,26,31.3
S01005050,910,415,495,910,-,2,11,82.39
S01005051,823,403,420,823,-,7,21,39.45
S01005052,914,446,468,914,-,31,"7,000",0.13
S01005053,878,420,458,865,13,2,14,63.87
S01005054,592,270,322,592,-,2,10,59.25
S01005055,811,395,416,811,-,3,13,64.18
S01005056,766,367,399,679,87,3,50,15.4
S01005057,739,339,400,739,-,2,16,45.4
S01005058,890,451,439,809,81,3,30,30.01
S01005059,510,218,292,510,-,3,11,46.62
S01005060,727,343,384,727,-,-,12,60.95
S01005061,"1,159",519,640,"1,042",117,14,57,20.39
S01005062,490,240,250,490,-,2,19,25.63
S01005063,495,239,256,495,-,7,43,11.5
S01005064,754,367,387,754,-,16,906,0.83
S01005065,"1,252",641,611,"1,252",-,1,27,46.97
S01005066,786,369,417,786,-,3,10,76.45
S01005067,627,331,296,506,121,9,"9,847",0.06
S01005068,641,290,351,641,-,3,14,46.95
S01005069,594,276,318,594,-,3,12,48.41
S01005070,"1,124",571,553,"1,091",33,7,31,35.89
S01005071,190,98,92,190,-,-,7,28.93
S01005072,622,296,326,622,-,1,11,58.27
S01005073,616,309,307,600,16,12,"10,652",0.06
S01005074,"1,210",594,616,"1,210",-,22,"1,782",0.68
S01005075,435,199,236,435,-,2,27,16.24
S01005076,768,379,389,768,-,2,10,79.95
S01005077,"1,036",493,543,"1,036",-,3,54,19.09
S01005078,692,322,370,692,-,4,23,30.54
S01005079,638,293,345,638,-,-,11,57.01
S01005080,454,217,237,454,-,3,6,76.75
S01005081,656,306,350,656,-,4,36,18.24
S01005082,657,318,339,657,-,3,69,9.46
S01005083,975,450,525,959,16,15,29,34.13
S01005084,613,277,336,613,-,1,7,88.68
S01005085,533,266,267,533,-,4,53,10.09
S01005086,"1,696",829,867,"1,638",58,13,192,8.85
S01005087,492,235,257,492,-,3,12,39.48
S01005088,561,268,293,539,22,17,22,25.51
S01005089,776,357,419,738,38,7,22,34.92
S01005090,866,413,453,866,-,13,41,21.35
S01005091,637,282,355,637,-,12,27,23.48
S01005092,672,328,344,672,-,3,84,7.97
S01005093,704,326,378,702,2,1,866,0.81
S01005094,802,408,394,798,4,6,"2,037",0.39
S01005095,"1,566",765,801,"1,558",8,17,"5,485",0.29
S01005096,734,343,391,734,-,7,29,25.56
S01005097,842,395,447,840,2,6,"1,034",0.81
S01005098,722,346,376,703,19,15,388,1.86
S01005099,797,380,417,797,-,7,43,18.5
S01005100,928,447,481,913,15,22,79,11.69
S01005101,996,474,522,996,-,7,35,28.83
S01005102,893,434,459,854,39,24,"3,759",0.24
S01005103,"1,155",632,523,997,158,15,"4,233",0.27
S01005104,"1,002",551,451,624,378,17,"11,597",0.09
S01005105,886,427,459,886,-,8,48,18.36
S01005106,557,265,292,555,2,1,83,6.68
S01005107,454,225,229,454,-,6,21,21.12
S01005108,635,305,330,635,-,7,26,24.29
S01005109,"1,470",752,718,"1,458",12,25,"6,309",0.23
S01005110,"1,115",564,551,"1,115",-,18,"7,925",0.14
S01005111,577,293,284,576,1,4,228,2.53
S01005112,876,453,423,843,33,15,"34,376",0.03
S01005113,"1,045",526,519,"1,045",-,5,366,2.86
S01005114,990,498,492,990,-,2,13,76.74
S01005115,973,477,496,901,72,15,"13,498",0.07
S01005116,621,320,301,621,-,12,"3,164",0.2
S01005117,"1,014",504,510,947,67,17,"3,233",0.31
S01005118,813,393,420,790,23,15,"1,890",0.43
S01005119,712,337,375,676,36,10,75,9.48
S01005120,665,313,352,620,45,8,45,14.86
S01005121,918,462,456,894,24,13,"2,887",0.32
S01005122,866,413,453,866,-,11,33,26.11
S01005123,750,351,399,750,-,4,50,15.07
S01005124,710,339,371,703,7,5,21,33.58
S01005125,839,388,451,838,1,3,16,51.68
S01005126,656,306,350,621,35,10,"1,643",0.4
S01005127,678,331,347,676,2,1,56,12.14
S01005128,991,454,537,962,29,12,45,21.82
S01005129,948,458,490,948,-,9,31,30.4
S01005130,666,324,342,664,2,1,23,29.17
S01005131,984,491,493,980,4,6,"2,854",0.34
S01005132,718,334,384,662,56,4,69,10.47
S01005133,401,201,200,401,-,14,"3,524",0.11
S01005134,989,456,533,989,-,3,41,24.05
S01005135,780,378,402,779,1,4,33,23.32
S01005136,846,412,434,813,33,4,60,14.05
S01005137,943,492,451,940,3,13,"20,017",0.05
S01005138,"1,129",562,567,"1,111",18,12,"6,478",0.17
S01005139,725,355,370,642,83,13,"8,216",0.09
S01005140,613,316,297,593,20,11,"99,937",0.01
S01005141,828,390,438,811,17,12,"15,395",0.05
S01005142,561,272,289,553,8,11,"1,793",0.31
S01005143,"1,122",518,604,"1,068",54,12,65,17.25
S01005144,"1,222",565,657,"1,079",143,23,116,10.52
S01005145,731,367,364,695,36,15,"9,139",0.08
S01005146,745,377,368,682,63,20,"41,806",0.02
S01005147,945,470,475,890,55,11,"70,146",0.01
S01005148,846,430,416,846,-,9,24,35.32
S01005149,593,295,298,593,-,6,20,29.75
S01005150,660,312,348,660,-,1,16,40.09
S01005151,670,315,355,670,-,10,21,31.19
S01005152,"1,712",807,905,"1,465",247,11,"3,838",0.45
S01005153,868,401,467,868,-,5,39,22.18
S01005154,645,323,322,637,8,7,"5,809",0.11
S01005155,690,332,358,687,3,2,33,20.91
S01005156,695,333,362,695,-,2,10,68.7
S01005157,871,411,460,871,-,4,16,54.08
S01005158,677,335,342,677,-,7,23,29.07
S01005159,917,417,500,917,-,-,28,32.84
S01005160,"1,089",476,613,"1,089",-,3,27,40.22
S01005161,951,466,485,951,-,3,15,63.31
S01005162,918,437,481,918,-,2,26,35.72
S01005163,628,283,345,628,-,1,14,45.55
S01005164,914,467,447,914,-,1,16,56.95
S01005165,720,325,395,720,-,2,19,37.13
S01005166,996,459,537,989,7,2,38,26.3
S01005167,670,300,370,670,-,1,16,40.89
S01005168,740,378,362,740,-,3,39,18.86
S01005169,577,281,296,577,-,1,13,44.81
S01005170,786,385,401,785,1,5,24,32.91
S01005171,882,396,486,787,95,1,19,46.76
S01005172,"1,468",716,752,"1,468",-,2,54,27.02
S01005173,696,352,344,691,5,1,25,28.05
S01005174,681,300,381,622,59,5,18,37.24
S01005175,982,470,512,820,162,5,49,20.15
S01005176,688,327,361,688,-,1,12,55.09
S01005177,829,412,417,829,-,-,11,74.22
S01005178,956,460,496,956,-,3,19,51.14
S01005179,925,447,478,925,-,3,16,57.98
S01005180,842,388,454,842,-,4,33,25.26
S01005181,924,460,464,924,-,27,30,30.52
S01005182,737,358,379,737,-,-,12,60.49
S01005183,903,432,471,903,-,2,23,38.89
S01005184,932,437,495,932,-,2,27,34.37
S01005185,517,238,279,517,-,-,10,52.19
S01005186,731,315,416,731,-,1,14,52.52
S01005187,990,475,515,990,-,4,21,47.4
S01005188,902,442,460,884,18,4,26,35.16
S01005189,877,402,475,877,-,-,13,66.18
S01005190,889,433,456,859,30,4,37,24.22
S01005191,926,470,456,926,-,3,32,28.71
S01005192,"1,126",529,597,"1,115",11,3,30,37.85
S01005193,788,369,419,751,37,9,28,28.35
S01005194,591,283,308,591,-,1,12,48.26
S01005195,900,453,447,900,-,3,19,47.56
S01005196,809,338,471,809,-,2,18,45.77
S01005197,700,320,380,700,-,6,20,35.65
S01005198,846,406,440,846,-,7,26,32.07
S01005199,772,363,409,764,8,2,22,34.49
S01005200,537,255,282,537,-,-,9,58.96
S01005201,917,414,503,917,-,4,19,48.2
S01005202,870,397,473,870,-,2,16,53.05
S01005203,785,390,395,776,9,2,26,30.53
S01005204,506,253,253,506,-,2,10,52.42
S01005205,"1,101",530,571,"1,101",-,4,29,38.39
S01005206,960,467,493,960,-,2,26,36.63
S01005207,892,409,483,892,-,5,25,36.14
S01005208,558,273,285,558,-,4,12,47.16
S01005209,866,416,450,866,-,4,19,45.43
S01005210,908,379,529,908,-,2,9,105.95
S01005211,686,316,370,686,-,1,16,42.96
S01005212,535,266,269,535,-,2,12,45.96
S01005213,923,448,475,919,4,6,28,33.1
S01005214,922,429,493,922,-,-,12,73.87
S01005215,974,454,520,966,8,-,24,40.05
S01005216,751,368,383,751,-,4,19,39.23
S01005217,977,448,529,871,106,4,23,41.64
S01005218,932,413,519,932,-,3,16,56.56
S01005219,953,428,525,903,50,3,28,34.63
S01005220,660,294,366,660,-,-,13,52.54
S01005221,692,336,356,646,46,7,53,12.97
S01005222,583,283,300,583,-,1,81,7.17
S01005223,722,336,386,722,-,4,13,56.32
S01005224,724,336,388,724,-,-,13,55.18
S01005225,978,474,504,963,15,1,33,30.05
S01005226,518,251,267,510,8,4,19,26.93
S01005227,"1,069",531,538,"1,060",9,3,23,45.67
S01005228,891,427,464,885,6,14,"2,580",0.35
S01005229,"1,122",581,541,"1,122",-,2,16,68.17
S01005230,825,409,416,825,-,3,23,36
S01005231,715,344,371,715,-,2,13,54.45
S01005232,"1,068",487,581,"1,002",66,-,22,47.53
S01005233,769,352,417,740,29,4,35,22.14
S01005234,"1,352",661,691,"1,313",39,8,38,35.18
S01005235,705,349,356,695,10,2,29,24.42
S01005236,"1,175",569,606,"1,175",-,2,124,9.47
S01005237,983,471,512,983,-,8,34,28.72
S01005238,800,402,398,800,-,4,18,43.44
S01005239,"1,106",585,521,962,144,6,17,65.13
S01005240,834,416,418,834,-,1,22,37.92
S01005241,952,457,495,952,-,3,25,37.82
S01005242,"1,107",566,541,"1,107",-,1,39,28.49
S01005243,"1,057",546,511,"1,057",-,4,12,87.12
S01005244,909,447,462,905,4,7,23,40.23
S01005245,686,326,360,684,2,3,9,72.25
S01005246,878,449,429,878,-,2,7,130.32
S01005247,624,262,362,624,-,2,16,40.11
S01005248,619,312,307,619,-,1,10,62.08
S01005249,850,472,378,849,1,-,39,21.87
S01005250,835,440,395,835,-,-,4,234.4
S01005251,852,391,461,852,-,3,15,58.7
S01005252,506,240,266,506,-,-,7,73.6
S01005253,547,260,287,547,-,1,16,33.21
S01005254,903,494,409,750,153,9,14,63.12
S01005255,710,339,371,710,-,3,10,67.8
S01005256,846,434,412,846,-,5,160,5.27
S01005257,904,423,481,904,-,2,17,53.79
S01005258,"1,014",493,521,"1,014",-,3,25,40.84
S01005259,541,252,289,541,-,1,7,72.77
S01005260,629,297,332,629,-,2,25,24.94
S01005261,653,298,355,653,-,1,10,64.69
S01005262,"1,183",534,649,"1,090",93,3,125,9.43
S01005263,534,240,294,534,-,-,13,42.02
S01005264,628,273,355,628,-,3,29,21.42
S01005265,479,239,240,479,-,-,43,11.18
S01005266,846,372,474,846,-,2,19,45.58
S01005267,"1,070",503,567,"1,070",-,8,27,40.32
S01005268,"1,315",672,643,"1,315",-,-,91,14.42
S01005269,940,439,501,940,-,-,19,50.72
S01005270,"1,046",508,538,"1,046",-,8,19,53.69
S01005271,519,252,267,519,-,1,12,41.55
S01005272,538,239,299,538,-,-,46,11.62
S01005273,731,349,382,731,-,-,8,88.88
S01005274,745,315,430,745,-,2,15,49.5
S01005275,546,294,252,546,-,-,40,13.56
S01005276,722,356,366,722,-,2,10,74.22
S01005277,669,318,351,669,-,1,23,29.4
S01005278,789,386,403,789,-,-,24,32.88
S01005279,553,266,287,553,-,6,32,17.42
S01005280,753,321,432,753,-,3,11,70.82
S01005281,767,371,396,767,-,-,36,21.37
S01005282,756,332,424,756,-,3,9,87.9
S01005283,800,386,414,800,-,23,27,29.2
S01005284,606,303,303,605,1,1,22,28.12
S01005285,693,336,357,693,-,1,10,67.35
S01005286,801,416,385,801,-,17,47,16.99
S01005287,"1,089",507,582,"1,034",55,3,41,26.37
S01005288,778,371,407,778,-,1,18,42.06
S01005289,989,460,529,989,-,-,16,63.8
S01005290,604,295,309,604,-,-,18,34.18
S01005291,684,319,365,684,-,7,14,47.74
S01005292,744,388,356,744,-,1,13,56
S01005293,760,365,395,760,-,5,17,45.15
S01005294,569,273,296,569,-,9,30,19.07
S01005295,586,295,291,586,-,2,15,38.96
S01005296,831,421,410,831,-,14,27,30.34
S01005297,710,323,387,647,63,2,37,19.18
S01005298,"1,082",542,540,"1,082",-,12,33,32.68
S01005299,503,243,260,503,-,-,23,21.69
S01005300,911,430,481,911,-,6,20,46.07
S01005301,868,439,429,868,-,10,31,28.37
S01005302,"1,000",453,547,"1,000",-,1,13,78.76
S01005303,842,414,428,842,-,4,48,17.65
S01005304,662,299,363,662,-,-,14,46.52
S01005305,744,349,395,744,-,3,7,99.64
S01005306,956,458,498,956,-,2,369,2.59
S01005307,953,477,476,953,-,9,31,31.01
S01005308,532,220,312,532,-,1,42,12.75
S01005309,851,416,435,851,-,1,20,42.14
S01005310,975,433,542,975,-,2,16,60.51
S01005311,818,419,399,818,-,4,15,53.82
S01005312,"1,147",613,534,"1,068",79,3,396,2.9
S01005313,841,408,433,841,-,-,17,50.06
S01005314,457,227,230,457,-,4,25,18.09
S01005315,881,386,495,795,86,-,47,18.66
S01005316,848,414,434,848,-,-,19,44.42
S01005317,519,256,263,519,-,1,9,58.45
S01005318,573,258,315,573,-,2,21,27.38
S01005319,617,304,313,617,-,1,9,67.56
S01005320,610,277,333,610,-,6,27,22.47
S01005321,607,261,346,604,3,3,14,42.48
S01005322,"1,859",922,937,"1,859",-,4,32,58.49
S01005323,757,356,401,757,-,-,20,38.23
S01005324,788,377,411,781,7,1,20,39.66
S01005325,"2,209","1,111","1,098","2,209",-,8,108,20.39
S01005326,921,406,515,921,-,1,19,47.57
S01005327,604,271,333,604,-,1,7,90.98
S01005328,704,412,292,704,-,2,8,85.28
S01005329,658,336,322,641,17,13,"5,132",0.13
S01005330,706,331,375,694,12,-,12,60.4
S01005331,669,316,353,669,-,1,126,5.3
S01005332,565,260,305,523,42,2,33,17.02
S01005333,772,384,388,772,-,3,33,23.22
S01005334,"1,137",540,597,"1,137",-,1,20,57.96
S01005335,505,254,251,505,-,1,31,16.32
S01005336,598,283,315,598,-,2,16,36.49
S01005337,872,440,432,872,-,8,25,35.04
S01005338,562,285,277,562,-,2,8,72.99
S01005339,770,370,400,770,-,-,12,66.49
S01005340,573,259,314,573,-,2,14,40.71
S01005341,647,295,352,647,-,1,11,59.48
S01005342,730,357,373,730,-,-,17,41.76
S01005343,932,471,461,932,-,12,13,69.35
S01005344,726,331,395,726,-,1,10,76.18
S01005345,747,368,379,747,-,1,11,65.6
S01005346,789,401,388,789,-,1,15,52.99
S01005347,675,328,347,675,-,5,26,26.05
S01005348,933,431,502,859,74,3,67,13.84
S01005349,846,415,431,846,-,2,29,29.31
S01005350,709,341,368,709,-,12,33,21.18
S01005351,"1,349",724,625,"1,090",259,15,"2,908",0.46
S01005352,926,436,490,926,-,1,27,34.18
S01005353,"1,057",516,541,"1,057",-,2,15,71.05
S01005354,843,430,413,843,-,4,14,59.24
S01005355,737,373,364,737,-,5,11,67.25
S01005356,681,335,346,681,-,3,21,32.92
S01005357,790,361,429,790,-,1,13,62.29
S01005358,782,395,387,782,-,1,33,23.89
S01005359,808,397,411,808,-,3,19,43.28
S01005360,762,391,371,762,-,2,13,59.12
S01005361,932,463,469,932,-,6,50,18.76
S01005362,768,379,389,763,5,7,36,21.21
S01005363,666,346,320,654,12,18,"52,038",0.01
S01005364,911,458,453,893,18,33,"19,891",0.05
S01005365,888,458,430,828,60,15,"20,024",0.04
S01005366,708,340,368,708,-,10,69,10.21
S01005367,751,365,386,751,-,2,16,45.6
S01005368,675,320,355,617,58,1,9,74.79
S01005369,974,486,488,974,-,6,25,38.61
S01005370,850,405,445,814,36,3,70,12.12
S01005371,947,475,472,947,-,7,37,25.59
S01005372,864,427,437,862,2,7,17,51.17
S01005373,724,359,365,722,2,5,42,17.29
S01005374,870,440,430,870,-,4,27,32.74
S01005375,937,446,491,935,2,8,54,17.49
S01005376,992,472,520,981,11,8,39,25.75
S01005377,863,409,454,863,-,9,12,72.52
S01005378,808,394,414,808,-,3,20,40.91
S01005379,920,437,483,920,-,6,23,40
S01005380,671,320,351,671,-,5,41,16.56
S01005381,641,296,345,641,-,2,23,28.42
S01005382,834,389,445,834,-,1,16,52.82
S01005383,570,291,279,567,3,26,"26,413",0.02
S01005384,920,438,482,918,2,27,"7,650",0.12
S01005385,962,480,482,962,-,19,"15,200",0.06
S01005386,653,302,351,653,-,3,34,19.26
S01005387,899,413,486,899,-,7,14,63.43
S01005388,775,372,403,773,2,10,37,20.95
S01005389,750,348,402,744,6,6,37,20.13
S01005390,850,398,452,850,-,15,18,46.52
S01005391,756,364,392,734,22,10,48,15.88
S01005392,831,398,433,831,-,20,"19,452",0.04
S01005393,929,434,495,884,45,16,"4,769",0.19
S01005394,863,433,430,863,-,20,"27,662",0.03
S01005395,978,474,504,975,3,30,"7,740",0.13
S01005396,744,374,370,741,3,12,"32,055",0.02
S01005397,546,267,279,544,2,4,30,18.43
S01005398,969,487,482,969,-,18,33,29.65
S01005399,983,453,530,981,2,9,20,48.7
S01005400,"1,078",546,532,"1,031",47,10,65,16.48
S01005401,847,388,459,825,22,11,21,40.85
S01005402,"1,015",502,513,"1,013",2,15,82,12.45
S01005403,892,438,454,892,-,9,19,46.14
S01005404,985,497,488,970,15,17,"6,033",0.16
S01005405,564,264,300,563,1,14,41,13.91
S01005406,546,248,298,546,-,3,15,36.69
S01005407,"1,435",701,734,"1,435",-,14,"6,615",0.22
S01005408,579,276,303,579,-,1,95,6.08
S01005409,700,354,346,700,-,8,42,16.71
S01005410,"1,016",504,512,"1,009",7,29,"7,838",0.13
S01005411,968,473,495,968,-,16,63,15.3
S01005412,999,491,508,988,11,19,48,20.73
S01005413,909,433,476,906,3,2,31,28.95
S01005414,"1,039",457,582,"1,006",33,19,86,12.09
S01005415,990,442,548,970,20,25,52,18.87
S01005416,978,441,537,955,23,1,26,38
S01005417,"1,231",583,648,"1,208",23,16,87,14.14
S01005418,"1,127",533,594,"1,106",21,20,331,3.4
S01005419,718,352,366,718,-,7,13,53.37
S01005420,768,361,407,735,33,12,23,33.76
S01005421,870,409,461,870,-,6,19,46.3
S01005422,946,382,564,763,183,10,81,11.61
S01005423,989,450,539,989,-,18,23,43.71
S01005424,874,420,454,848,26,21,31,27.83
S01005425,980,482,498,980,-,7,17,56.9
S01005426,769,378,391,769,-,3,16,48.33
S01005427,779,374,405,774,5,4,31,25.03
S01005428,"1,049",509,540,"1,049",-,8,52,20.1
S01005429,719,342,377,687,32,9,26,28.13
S01005430,537,259,278,537,-,14,33,16.42
S01005431,667,319,348,667,-,1,19,35.98
S01005432,704,352,352,704,-,9,12,60.41
S01005433,850,407,443,850,-,9,12,73.85
S01005434,807,383,424,800,7,5,26,31.05
S01005435,"1,060",504,556,"1,058",2,20,34,31.23
S01005436,953,456,497,915,38,15,37,25.83
S01005437,916,473,443,916,-,13,35,25.93
S01005438,788,391,397,788,-,9,20,40.25
S01005439,700,358,342,699,1,4,36,19.39
S01005440,"1,266",617,649,"1,266",-,41,"6,424",0.2
S01005441,"1,054",516,538,"1,045",9,15,49,21.32
S01005442,"1,983",988,995,"1,971",12,41,"21,618",0.09
S01005443,"1,183",581,602,"1,154",29,14,91,12.96
S01005444,"1,322",652,670,"1,319",3,35,"8,862",0.15
S01005445,"1,002",472,530,999,3,14,49,20.46
S01005446,777,380,397,775,2,9,20,38.18
S01005447,932,449,483,932,-,13,33,28.57
S01005448,876,433,443,873,3,22,42,21.1
S01005449,984,469,515,937,47,35,"10,541",0.09
S01005450,"1,144",562,582,"1,130",14,11,53,21.7
S01005451,937,441,496,910,27,13,55,16.89
S01005452,899,427,472,899,-,30,45,19.87
S01005453,802,367,435,802,-,-,34,23.72
S01005454,924,429,495,859,65,14,91,10.19
S01005455,874,382,492,871,3,16,19,45.31
S01005456,858,409,449,858,-,10,14,59.4
S01005457,959,466,493,957,2,10,31,31.01
S01005458,716,362,354,713,3,5,19,36.79
S01005459,934,471,463,931,3,33,"13,159",0.07
S01005460,868,433,435,868,-,13,"4,892",0.18
S01005461,773,395,378,755,18,18,"6,031",0.13
S01005462,"1,073",521,552,"1,072",1,22,"8,522",0.13
S01005463,622,306,316,622,-,18,31,19.9
S01005464,653,312,341,648,5,8,44,14.74
S01005465,610,301,309,610,-,9,18,33.52
S01005466,"1,119",583,536,"1,119",-,29,"22,636",0.05
S01005467,509,247,262,508,1,2,22,22.64
S01005468,925,451,474,896,29,33,"10,949",0.08
S01005469,889,439,450,889,-,11,"6,786",0.13
S01005470,734,329,405,734,-,17,36,20.36
S01005471,813,399,414,813,-,21,45,17.96
S01005472,"1,451",715,736,"1,450",1,32,"20,414",0.07
S01005473,993,497,496,991,2,25,"4,696",0.21
S01005474,889,432,457,888,1,10,119,7.47
S01005475,950,499,451,924,26,19,"23,936",0.04
S01005476,961,477,484,911,50,29,"9,286",0.1
S01005477,863,427,436,863,-,7,23,37.84
S01005478,760,377,383,753,7,12,35,21.53
S01005479,599,295,304,599,-,2,42,14.34
S01005480,"1,273",621,652,"1,271",2,24,"5,461",0.23
S01005481,687,343,344,687,-,2,15,44.44
S01005482,663,324,339,663,-,22,"6,724",0.1
S01005483,939,462,477,939,-,25,"4,353",0.22
S01005484,535,262,273,535,-,8,34,15.65
S01005485,851,390,461,851,-,2,29,29.55
S01005486,874,427,447,874,-,8,55,15.9
S01005487,733,357,376,699,34,2,22,33.75
S01005488,792,373,419,792,-,10,12,64.07
S01005489,962,487,475,959,3,19,"14,402",0.07
S01005490,664,304,360,652,12,14,"1,347",0.49
S01005491,836,423,413,823,13,9,"4,978",0.17
S01005492,936,468,468,930,6,24,"4,023",0.23
S01005493,704,353,351,691,13,14,"5,883",0.12
S01005494,882,460,422,882,-,20,837,1.05
S01005495,769,391,378,769,-,16,"3,248",0.24
S01005496,"1,025",513,512,"1,025",-,16,"2,937",0.35
S01005497,915,468,447,915,-,20,"1,796",0.51
S01005498,984,503,481,968,16,11,"1,099",0.9
S01005499,671,322,349,638,33,9,93,7.18
S01005500,720,358,362,720,-,16,23,30.75
S01005501,"1,043",543,500,"1,043",-,25,43,24
S01005502,845,416,429,833,12,13,"3,120",0.27
S01005503,618,292,326,607,11,7,21,29.27
S01005504,647,335,312,638,9,7,14,45.65
S01005505,621,298,323,621,-,9,16,38.02
S01005506,877,460,417,849,28,19,28,31.24
S01005507,587,318,269,587,-,6,26,22.59
S01005508,697,371,326,697,-,14,197,3.54
S01005509,659,335,324,659,-,6,"3,166",0.21
S01005510,726,364,362,726,-,17,"4,218",0.17
S01005511,652,329,323,652,-,12,"10,587",0.06
S01005512,700,356,344,688,12,14,"11,301",0.06
S01005513,813,395,418,813,-,25,"7,487",0.11
S01005514,624,315,309,624,-,12,"10,531",0.06
S01005515,576,292,284,566,10,13,386,1.49
S01005516,559,280,279,559,-,13,"1,999",0.28
S01005517,957,515,442,957,-,15,"12,522",0.08
S01005518,"1,055",538,517,"1,037",18,20,"6,035",0.17
S01005519,646,336,310,643,3,14,"17,080",0.04
S01005520,966,484,482,960,6,18,"21,611",0.04
S01005521,693,353,340,684,9,20,"16,337",0.04
S01005522,636,318,318,631,5,6,"9,574",0.07
S01005523,788,424,364,768,20,9,"23,702",0.03
S01005524,815,395,420,769,46,9,"27,383",0.03
S01005525,662,313,349,662,-,5,13,50.74
S01005526,674,330,344,674,-,3,8,89.57
S01005527,493,225,268,493,-,-,10,50.69
